SMILES,Predicted_activity,Probability
CCn1cc(C(=O)O)c(=O)c2c(F)c(N3CCNCC3)n(F)c21,1,0.9318495988845825
CC(=O)OCc1ccc(Cl)cc1Cl,0,0.9948827028274536
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,1,0.9521006941795349
CC1CCC(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,1,0.8531956076622009
Oc1cnc(Cl)c2ccccc12,0,0.9389194846153259
CC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,1,0.9317389726638794
NCC1CC(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CO1,1,0.7846951484680176
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,1,0.9484897255897522
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,1,0.9521006941795349
CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1,1,0.9673447012901306
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,1,0.9484897255897522
CCC1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,1,0.8560106158256531
CC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,1,0.9317389726638794
CCn1cc2c(N3CCNCC3)c(F)cc-2c(=O)c(C(=O)O)c1,1,0.8546392321586609
CSn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,1,0.9230949878692627
CC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,1,0.9317389726638794
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,1,0.9521006941795349
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,1,0.9521006941795349
CN(C)C1C(=O)N2C(C(=O)O)=C(Cc3nnnn3C)CSC12,1,0.897712767124176
COC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,1,0.951654851436615
CC(CO)OC1C(=O)C2C(C(=O)O)=C(CSc3nnnn3C)CSC12,1,0.5013205409049988
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,1,0.9484897255897522
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,1,0.9521006941795349
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,1,0.9521006941795349
C=C(C)Oc1ccc(CC(=O)O)cc1Cl,0,0.9967093467712402
COc1ccc(Cc2cnc(N)nc2)cc1C,0,0.726137101650238
CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1,1,0.9673447012901306
COc1ccc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc12,1,0.615841269493103
CC(N)OC1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC12,1,0.8930479884147644
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,1,0.9484897255897522
COn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,1,0.8850416541099548
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,1,0.9521006941795349
CCC(O)COc1ccccc1[N+](=O)[O-],0,0.994881272315979
O=C(O)CCC12C=CC=CC1=C2O,0,0.9969905614852905
CCn1cc(C(=O)O)c(=O)c2c(F)c(F)c(N3CCNCC3)nc21,1,0.9339983463287354
CC(CNCC(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC12)c1csc(N)n1,1,0.9871754050254822
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,1,0.9484897255897522
