SMILES,Probability
CC(N)=O,0.7296579480171204
CCNC,0.730619490146637
O=C1C(=O)C2(CCCC2)N2CCC1CC2,0.7930776476860046
CC(C)O,0.6664993762969971
CCCl,0.8035035729408264
CC(C)NCC1C2=CC=CC=C1c1ccccc1O2,0.8006647825241089
CCCCC,0.7700357437133789
C=C(CC)CCNC(Cl)c1ccccc1,0.8625566363334656
CCO,0.6506184935569763
CC(C)C,0.7700357437133789
C[CH]C(C)CC(CCCCCCC)COC(=O)NC,0.8528176546096802
CCCCCC,0.7885003685951233
CC(C)c1ccc(OCCCN(C)C)cc1,0.8366795182228088
O=C1CCc2ccccc2C(CCCCO)=NC1,0.6943302750587463
CN(C)CCNC1c2ccccc2Sc2cccc(Cl)c21,0.8010733723640442
Nc1ccccc1,0.7228365540504456
CNC(N)=O,0.7177274823188782
CCC(C)CCN,0.6831572651863098
CCCc1cccc(C)c1,0.8147568106651306
CN(O)CCCCl,0.7665051817893982
CCOCC,0.773475170135498
C=C,0.7302247285842896
CC(C)CO,0.6506184935569763
CC(CC1C2=C(C=CC=Cc3ccccc31)S2)N(C)C,0.8323959708213806
ClC(Cl)Br,0.786787748336792
Clc1ccc2c(c1)C(C1CCNCC1)=NC2,0.8429527282714844
ClCCl,0.7948999404907227
CCCCCCC,0.8105090856552124
CCO,0.6506184935569763
CCONC(C)=O,0.7530098557472229
CCCl,0.8035035729408264
CC=CCC(SCCO)c1ccccc1,0.7002508044242859
CCC(=O)NNC(N)=O,0.7965198755264282
CCO,0.6506184935569763
CC(O)Cl,0.7725995779037476
COc1cccc(C)c1C,0.7671268582344055
CC1CCC(c2ccc3c(c2)CC3c2ccccc2)C1,0.799518883228302
CCC(=O)OC(O)C(C)c1ccccc1,0.7799957394599915
CCCl,0.8035035729408264
Cc1cccc(C(NCCCO)NC(C)C)c1,0.6321250200271606
CC(C)O,0.6664993762969971
CCCCCC1CC(=O)NC(=O)C(CC)C1,0.8098077178001404
N#CC=CCCN1CCNCC1,0.8708649277687073
CCOCC,0.773475170135498
CCC(N)=O,0.7750377058982849
CCCCCCC1CCCCC1,0.8095927834510803
ClCCl,0.7948999404907227
OC1CCCCC1,0.6689528226852417
CCN(COc1ccccc1)C1=CC(c2ccccc2)C1=O,0.7648224234580994
CC(C)O,0.6664993762969971
CCC(C)C,0.7700357437133789
CN1CCOc2cccc(c2)C(c2ccccc2)C1,0.8488991260528564
ClCCl,0.7948999404907227
CCOCCN(CCCCCC(N)C(C)O)N=O,0.5656025409698486
CCC(C)=O,0.8156373500823975
CCCC(=O)OCCO,0.7570902705192566
CC(C)(C)C,0.7287271022796631
CCCCCl,0.8053660988807678
CCCNCC(C)c1ccccc1,0.8194384574890137
CC1NNCCN1C1=CC=CCCC1,0.8413210511207581
CC(C)OC(=O)c1ccc(Cl)nc1N,0.7278416752815247
CN(C)CCCOC1c2ccccc2Cc2ccccc21,0.8368138670921326
CCCCC,0.7700357437133789
CCOCC,0.773475170135498
CC(C)O,0.6664993762969971
CCCl,0.8035035729408264
CCCCC,0.7700357437133789
CC(C)NC(C)c1ccccc1,0.7575209140777588
CC(C)(C)CN,0.6901259422302246
CCC(O)NO,0.7036356925964355
COc1cc(C)cc(C(N)=O)c1,0.7713900208473206
CC(C)C,0.7700357437133789
CCCCCC,0.7885003685951233
CCO,0.6506184935569763
CC(C)O,0.6664993762969971
CCCl,0.8035035729408264
CC(=O)NC(NC(C)c1ccc(C)cc1)C(C)O,0.6520267724990845
CCC,0.7700357437133789
CCC(N)=O,0.7750377058982849
C=CCl,0.7708366513252258
C=C,0.7302247285842896
ClC(Cl)(Cl)Cl,0.7651368975639343
COC(N)=O,0.7267969846725464
CCCC(N)=O,0.7750377058982849
CCCCCCl,0.821830153465271
CCCCCCCC,0.8128822445869446
CC(C)C,0.7700357437133789
NCCO,0.5009600520133972
OCCCc1ccccc1,0.7062258124351501
CCC(F)(F)F,0.795904278755188
OC(F)(F)C(Cl)Cl,0.784778892993927
CCC(N)=O,0.7750377058982849
CCCCN,0.6831572651863098
CC(N)=Nc1nc(C)cs1,0.6887747645378113
CC(C)O,0.6664993762969971
OCCCNCCO,0.6277199387550354
CCO,0.6506184935569763
Cc1ccccc1C(O)N(C)C,0.7967138290405273
CN(C)CCCl,0.7917399406433105
NC(N)=O,0.720016598701477
